File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\keyboard-list.php,foreach($game_table as $i => $game_value),49,44,31,2,5,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($seourl_table as $i => $seourl_value),8,8,6,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($game_table as $i => $game_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($style_table as $i => $style_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($layout_table as $i => $layout_value),47,47,33,5,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,grid_init(),9,9,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,grid_location(in_coo),6,6,6,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,cube_init(),63,63,43,12,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,"cube_sort(a, b)",6,6,4,5,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,snake_init(),18,17,15,1,0,0,1,9,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,snake_move(),50,50,30,10,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,"snake_position(temp_dir, flag)",42,40,28,4,0,1,2,30,
C:\xampp\htdocs\keyboard\lib\cubescatter.js,cube_scatter(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-footer.js,"reloadThisPage(gameID, layoutID, gameSeo)",10,8,6,1,0,0,2,13,
C:\xampp\htdocs\keyboard\lib\keyboard-footer.js,"getValueFromDropDownList(formname, listname)",4,4,4,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-footer.js,getValueFromRadioButton(buttonsname),15,11,7,4,0,0,4,18,
C:\xampp\htdocs\keyboard\lib\keyboard-frontend.js,Toggle_Waiting(thisBool),2,2,2,0,0,0,0,0,
