File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\keyboard\lib\svg_LCHShinyBlack.css,55,50,47,0,1,31,4,158,0,0
C:\xampp\htdocs\keyboard\lib\svg_LCHShinyWhite.css,55,50,47,0,1,18,4,97,0,0
C:\xampp\htdocs\keyboard\lib\svg_SaturatedBlack.css,53,52,48,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\svg_SaturatedWhite.css,58,52,48,0,1,0,5,21,0,0
C:\xampp\htdocs\keyboard\lib\svg_Savard.css,76,75,72,0,1,1,0,2,0,0
C:\xampp\htdocs\keyboard\lib\svg_Test.css,56,50,47,0,1,0,5,21,0,0
C:\xampp\htdocs\keyboard\lib\svg_WarmBlack.css,51,50,47,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\svg_WarmWhite.css,51,50,47,0,1,0,0,0,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,407,351,206,50,6,11,50,358,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-embed.php,182,141,82,2,9,4,32,176,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,146,133,51,15,2,2,11,202,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-footer-2.php,10,9,0,0,1,2,0,56,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-init.php,73,47,33,8,6,9,20,161,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,821,719,439,46,19,2,83,399,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-recaptcha.php,121,84,43,3,11,0,26,174,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-sitemap.php,117,81,50,8,14,9,22,194,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-submit.php,625,576,260,39,11,7,38,242,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-svg.php,548,492,222,43,17,12,39,246,0,0
C:\xampp\htdocs\keyboard\lib\keyboard-wiki.php,194,160,107,5,9,7,25,172,0,0
