File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\lib\java-submit.js,are_captions_in_groups(),15,15,4,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,check_all_caption_groups(),19,19,6,4,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,toggle_set_and_revert_buttons(event),20,19,13,2,1,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,add_window_exit_event(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,add_input_typing_events(),20,20,20,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,remove_input_table_row(button_node),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,add_input_table_row(button_node),7,7,7,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,create_input_table_row(),38,38,38,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,remove_textarea_table_row(button_node),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,add_textarea_table_row(button_node),7,7,7,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,create_textarea_table_row(),20,20,20,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,toggle_left_pane(side_but),21,21,17,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,switch_left_pane(side_tab),15,15,11,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,switch_right_pane(side_tab),15,15,11,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,enable_input_elements(),15,15,15,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,disable_input_elements(),15,15,15,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"does_ancestor_have_id(elm, elmid)",3,3,3,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"addListener(element, eventName, handler)",13,13,7,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"removeListener(element, eventName, handler)",13,13,7,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"key_change_warning(elm, letter)",4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,key_legend_warning_single(letter),5,2,2,1,0,0,3,15,
C:\xampp\htdocs\keyboard\lib\java-submit.js,key_legend_warning_multiple(letter),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,document_change_warning(letter),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,image_file_warning(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,document_save_warning(letter),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,window_leave_warning(event),7,7,5,2,0,2,0,8,
C:\xampp\htdocs\keyboard\lib\java-submit.js,document_save_changes(),25,22,16,4,0,0,3,13,
C:\xampp\htdocs\keyboard\lib\java-submit.js,do_recaptcha(),92,73,43,4,5,2,14,42,
C:\xampp\htdocs\keyboard\lib\java-submit.js,document_revert_changes(),6,6,4,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"document_change_style(game_id, layout_id, game_seo)",6,6,4,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,seo_url(input),7,7,6,1,0,4,0,26,
C:\xampp\htdocs\keyboard\lib\java-submit.js,convert_title_to_seo(event),5,5,5,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_key_dirty(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_key_clean(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_doc_dirty(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_doc_clean(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_cap_dirty(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_cap_clean(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,flag_eml_dirty(),19,19,9,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,check_eml_valid(),15,15,7,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,toggle_doc_controls(),15,15,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,enable_doc_controls(),6,6,4,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,disable_doc_controls(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,collect_legend_data(),17,15,10,3,0,0,2,20,
C:\xampp\htdocs\keyboard\lib\java-submit.js,collect_command_data(),20,19,14,3,0,0,1,10,
C:\xampp\htdocs\keyboard\lib\java-submit.js,process_legend_data(),10,9,7,2,0,1,1,20,
C:\xampp\htdocs\keyboard\lib\java-submit.js,process_command_data(),14,13,9,3,0,0,1,8,
C:\xampp\htdocs\keyboard\lib\java-submit.js,process_binding_data(),38,36,9,3,0,0,2,13,
C:\xampp\htdocs\keyboard\lib\java-submit.js,fill_legend(in_id),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,fill_commands(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,fill_bindings(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,clear_legend(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,clear_commands(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,clear_bindings(),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,text_select_and_copy(in_id),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\java-submit.js,"getParameterByName(name, url)",8,8,7,4,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-embed.php,foreach($commandouter_table as $i => $commandouter_value),16,16,6,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,switch($format_id),22,21,17,4,0,0,1,7,
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,foreach($style_table as $i => $style_value),26,26,14,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,foreach($layout_authors as $i => $layout_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,foreach($stylesrecord_authors as $i => $stylesrecords_value),7,7,5,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-init.php,switch($format_id),19,19,13,6,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-submit.php,foreach($binding_color_array as $i => $binding_color_value),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-submit.php,foreach($commandlabel_table as $i => $commandlabel_value),2,2,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-submit.php,foreach($binding_color_array as $i => $binding_color_value),24,24,13,4,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-submit.php,foreach($commandlabel_table as $i => $commandlabel_value),31,30,6,1,1,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-all.php,selURLQueriesAll(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-all.php,resURLQueriesAll($in_result),7,6,4,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-all.php,selDefaultsAll(),10,9,4,0,0,0,1,11,
C:\xampp\htdocs\keyboard\lib\queries-all.php,resDefaultsAll($in_result),18,18,13,0,0,2,0,20,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selContribsGamesChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resContribsGamesChart($in_result),7,6,4,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selContribsStylesChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resContribsStylesChart($in_result),7,6,4,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selContribsLayoutsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resContribsLayoutsChart($in_result),7,6,4,1,0,0,1,1,
