Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,86,8982,7767,4988,380,372,508,843,7392,135,906
C:\xampp\htdocs\keyboard,86,8982,7767,4988,380,372,508,843,7392,135,906
C:\xampp\htdocs\keyboard\lib,80,7828,6774,4690,359,319,456,735,6528,135,906
