Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,80,8442,7444,4771,390,349,384,649,5568,58,372
C:\xampp\htdocs\keyboard,80,8442,7444,4771,390,349,384,649,5568,58,372
C:\xampp\htdocs\keyboard\lib,75,7459,6584,4547,361,310,340,565,4863,58,372
