File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\keyboard.php,foreach($platform_array as $i => $platform_value),32,31,12,3,0,0,1,3,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($stylegroup_array as $i => $stylegroup_value),32,31,12,3,0,0,1,3,
C:\xampp\htdocs\keyboard\keyboard.php,foreach($genre_array as $i => $genre_value),34,33,14,3,0,1,1,17,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,extension($path),5,5,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,checkURLParameters(),132,112,61,16,3,3,17,96,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,pageTitle(),6,6,5,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,seo_url($input),7,7,7,1,0,5,0,31,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getPlatformID($in_layout_id),12,11,7,3,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getLayoutName($in_layout_id),12,11,7,3,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getStyleName($in_style_id),16,15,9,4,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getGameName($in_game_id),1,1,1,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getAuthorName($in_author_id),12,11,7,3,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,"print_key_html($in_id, $in_class, $in_color, $in_value)",3,3,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,cleantextHTML($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,cleantextSVG($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,cleantextJS($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,cleantextWiki($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,splittext($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getkeycolor($group),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getkeyclass($group),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,leadingZeros3($innumber),11,11,7,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,leadingZeros2($innumber),7,7,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,testPathInfo(),9,7,7,0,0,1,2,9,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,getFileTime(),13,13,9,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,sortGames(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-common.php,checkForErrors(),37,34,18,5,0,1,3,31,
C:\xampp\htdocs\keyboard\lib\keyboard-footer-1.php,switch($format_id),22,21,17,4,0,0,1,7,
C:\xampp\htdocs\keyboard\lib\keyboard-init.php,switch($format_id),19,19,13,6,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,"selectQuery(&$connection, $query_string, $dofunction)",23,23,14,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selURLQueries(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resURLQueries($in_result),7,6,4,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selDefaults(),10,9,4,0,0,0,1,11,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resDefaults($in_result),18,18,13,0,0,2,0,20,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selLegendColors(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resLegendColors($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selKeyStyleClasses(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resKeyStyleClasses($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selKeyStyles(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resKeyStyles($in_result),7,6,4,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selGenresFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resGenresFront($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selGamesFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,resGamesFront($in_result),10,9,7,1,0,0,1,4,
C:\xampp\htdocs\keyboard\lib\keyboard-queries.php,selStylegroupsFront(),4,4,4,0,0,0,0,0,
